Rating,Set,Classification,Soundcloud,Youtube
,Four Tet Boiler Room London DJ Set,Breaks & Experimental,https://soundcloud.com/platform/four-tet,https://youtu.be/s_Bn6FlvflM?si=kQEmxdJ4rwkqVl6Q
,Four Tet Boiler Room London Live Set,Breaks & Experimental,https://soundcloud.com/platform/four-tet-live?si=1826a9da06394375b6063a3237cbb000&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing,https://youtu.be/Ca6pjR2TLns?si=1lp_3rSGF7-JpSgI
,"Fred again.. - Rooftop Live (Arunâ??s Roof, London)",Pop Edits & Party Remixes,https://soundcloud.com/fredagain/rooftop-live-aruns-roof-london,https://youtu.be/6MAzUT1YhWE?si=WvJ6Io5yj-a_1Xf1
,Fred again.. | Boiler Room: London,Pop Edits & Party Remixes,https://soundcloud.com/platform/fred-again-boiler-room-london,https://youtu.be/c0-hvjV2A5Y?si=wp8-tQ2TGWyrP5F9
,Funk Tribu b2b Pegassi at Intercell x Klokgebouw 2025,Trance & High Energy Rave,https://soundcloud.com/intercell/funk-tribu-b2b-pegassi-at-intercell-x-klokgebouw-2025?si=dfe6479a59e54e1daaee5c1d16922a81&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing,https://youtu.be/VTfAxGkQi0o?si=UjvWxjuFGnCEUKjZ
,Gerd Janson Boiler Room x Eristoff Belgium - Day/Night,Classic House & Garage,https://soundcloud.com/platform/gerd-janson-boiler-room-x-eristoff-belgium-daynight,https://www.youtube.com/live/2vK_FHyS05c?si=rH8cyRdN1QFvPq0d
,Gerd Janson Boiler Room x Sugar Mountain 2018 DJ Set,Classic House & Garage,https://soundcloud.com/platform/gerd-janson-boiler-room-sugar-mountain-melbourne-dj-set,https://youtu.be/02PstSNvln0?si=zWO4un-a56zL9zRl
,Greg Wilson - HÃ?R 40TH ANNIVERSARY @ THE GARAGE LIVERPOOL 05.12.15,Disco & Funky House,https://soundcloud.com/gregwilson/5-hour-40th-anniversary-the,
,Gui Boratto Boiler Room SÃ£o Paulo DJ Set,Melodic House & Techno,https://soundcloud.com/platform/gui-boratto-boiler-room-s-o?si=d2e9bee1b6e942898924b222af6a2d95&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing,https://youtu.be/Y1TqT4qm3cA?si=4dcuvpXh--icS3T_
,Henrik Schwarz Boiler Room Berlin Live Set,Minimal & Deep House,https://soundcloud.com/platform/herik-scharz,https://youtu.be/hyVq--qZVEI?si=qQhvh0E3rPY9QcLl
,Henrik Schwarz live at CathÃ©drale de Chartres in France for Cercle,Minimal & Deep House,https://soundcloud.com/cerclelive/henrik-schwarz-cathedrale-de-chartres-for-cercle?si=70aa2ad02ee449abad430edae4aadf38&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing,https://youtu.be/51sikDhtEE0?si=0sj7FXk3-FVQv3Gu
,Honey Dijon Boiler Room x Sugar Mountain 2018 DJ Set,Classic House & Garage,https://soundcloud.com/platform/honey-dijon-boiler-room-sugar-mountain-melbourne-dj-set,https://youtu.be/m_qewI-1cEs?si=lCocpsce_aSBFZRk
,Hunee - Live at Trouw (ADE Closing Night - October 2013),Disco & Funky House,https://soundcloud.com/hunee/hunee-live-at-trouw-ade,
,Hunee Boiler Room x Dekmantel Festival DJ Set,Disco & Funky House,https://soundcloud.com/platform/hunee?si=6c1a0e357c374669a6fa6d76cff95783&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing,https://youtu.be/0RIU0cy6L1I?si=heU-ZjWCqBZntvpE
,HVOB Boiler Room Vienna Live Set,Minimal & Deep House,https://soundcloud.com/platform/hvob,https://youtu.be/X13beDr0fZY?si=cdRMaxHv_loSi-tK
,INFRAVISION (Pablo Bozzi & Kendal) | Boiler Room x Ulica ElektrykÃ³w,Trance & High Energy Rave,https://soundcloud.com/platform/infravision,https://youtu.be/fteU8YHLBqY?si=EA4FQa8CydfN68Aw
,Jamie 3:26 Boiler Room London DJ Set,Disco & Funky House,https://soundcloud.com/platform/jamie-326-boiler-room-london?si=43dcf70d60994cd38cd0a1000c8537a9&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing,https://youtu.be/kuT6mtPmqMg?si=7exsla8JuF2AMk4l
,Jamie xx Boiler Room ReykjavÃ­k DJ Set,Breaks & Experimental,https://soundcloud.com/platform/jamie-xx-boiler-room-reykjavik-dj-set,https://youtu.be/RHU4nXddLNU?si=IO5_Tv2IKzmlRqcY
,Jan Blomqvist live at Tossa de Mar in Spain for Cercle,Melodic House & Techno,https://soundcloud.com/cerclelive/jan-blomqvist-live-tossa-de-mar-for-cercle?si=715fd314cbe94427bda449174f610460&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing,https://youtu.be/w1ElkNNsfm8?si=tW7TfG8w9kJJkNJA
,Jayda G Boiler Room x Dekmantel Festival DJ Set,Disco & Funky House,https://soundcloud.com/platform/jayda-g-dekmantel,https://youtu.be/qy2D66L8lBw?si=lbHvhK3Wdh2HzQsI
,Jimi Jules - BBC Radio 1 Essential Mix,Minimal & Deep House,,https://youtu.be/wb2UbjFcPf4?si=PSDMDyrt6B2X08d1
,"Job Jobse @ Sleepless Floor, Melt! Festival 2015",Trance & High Energy Rave,https://soundcloud.com/jobjobse/melt-sleepless-floor-2015,
,Job Jobse at Lente Kabinet 2019,Trance & High Energy Rave,https://soundcloud.com/dkmntl/job-jobse-at-lente-kabinet-festival-2019?si=7377d9f4c1fd46d0b2b01c5a56d13614&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing,
,Job Jobse Wave Mix | Boiler Room x AVA festival,Trance & High Energy Rave,https://soundcloud.com/platform/job-jobse-1?si=e747760b057b4f348ba77d24f381195d&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing,https://youtu.be/ojE9LTSAEbk?si=2-XwNTLoXq-_yatN
,Joris Voorn @ Grand Palais for Cercle,Melodic House & Techno,https://soundcloud.com/chubin-vijande/cercle-joris-voorn-live-grand-palais,https://youtu.be/nZFwAbZs4tU?si=0zl9-WPeBhM5W6hw
,Joris Voorn All Night at Fabric London 08.01.2022 Pt.1,Melodic House & Techno,https://soundcloud.com/joris-voorn/fabriclondonpt1?si=0a1a0d738dcc4a77b219425055887c77&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing,https://youtu.be/_9gd9mGvmDs?si=tZi_BRaXdVkf0crw
,"Joris Voorn Live Stream | Audio Obscura at Kinderdijk, Netherlands",Melodic House & Techno,https://soundcloud.com/audio-obscura/joris-voorn-audio-obscura-revere-series-at-unesco-world-heritage-site-kinderdijk-11-june-2020,https://youtu.be/bycZFC7agXA?si=MTXZJKwwtT5uh88D
,Kenny Dope Gonzalez Boiler Room London DJ Set,Classic House & Garage,https://soundcloud.com/platform/kenny-dope-gonzalez?si=e5ca55d441d3424ab4ea42780e55f059&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing,https://youtu.be/cwENwGqTukE?si=WEqSrMGmzC67O83y
,KI/KI | Boiler Room Festival Amsterdam: X,Trance & High Energy Rave,https://soundcloud.com/platform/ki-ki-boiler-room-festival,https://youtu.be/m5qSdEAXNfw?si=9iAP4FrakAMCIrL-
,KI/KI | Boiler Room x AVA Festival 2024,Trance & High Energy Rave,https://soundcloud.com/platform/ki-ki-ava-festival-2024,https://youtu.be/obByzP5X3mc?si=ld6NssqTGWSafTN2
ð??¥ð??¥ð??¥,KI/KI b2b Marlon Hoffstadt - 5 Hours On The Beach,Trance & High Energy Rave,https://soundcloud.com/marlonhoffstadt/kiki-marlon-hoffstadt-5-hours,https://www.youtube.com/watch?v=eG4_srlKf9Y
,"Kiasmos live for Cercle at Citadelle de Sisteron, France",Minimal & Deep House,https://soundcloud.com/massivehoersturz/shimza-for-cercle-at-citadelle-de-sisteron-france?si=26104cdb366244acb0805c7ed70d4d5a&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing,https://youtu.be/cxvdImFbNyQ?si=iN-hd8lYGrgfG7vr
,Kink Boiler Room London Live Set,Classic House & Garage,https://soundcloud.com/platform/karenn?si=1b51456b838441a78a19cbb380efc593&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing,https://youtu.be/-0MoCENw8OQ?si=_WmDOXeIKvNOLGjr
,KlÃ©o | Boiler Room x Eristoff x United Identities: Amsterdam,Disco & Funky House,https://soundcloud.com/platform/kleo-boiler-room-x-eristoff-x-united-identities-amsterdam-1,https://www.youtube.com/live/vKxAD2_JuG8?si=y4X3DX3jJ_bdJMCT
,KÃ¶lsch @ Tour Eiffel for Cercle,Melodic House & Techno,,https://youtu.be/DiiKdG4lOug?si=FpBsZ1L0bMXbrSpS
